"product_id_1","product_1","product_id_2","product_2","times_ordered_together"
26,"Lentil (Dal) 1kg",32,"Pepsi 1L",13
8,"Farm Fresh Milk 1L",28,"Biscuits (Mixed)",13
6,"Broiler Chicken (whole)",28,"Biscuits (Mixed)",13
6,"Broiler Chicken (whole)",24,"Potato 1kg",13
14,"Wheel Washing Powder 1kg",27,"Flour (Atta) 2kg",13
12,"Oral Saline (ORS)",19,"Bashundhara Tissue",12
19,"Bashundhara Tissue",23,"Onion 1kg",12
4,"Fresh Sugar 1kg",12,"Oral Saline (ORS)",12
20,"Banglalink Internet Pack",37,"Cap",12
13,"Vim Dishwashing Bar",20,"Banglalink Internet Pack",12
1,"Miniket Rice 5kg",10,"Taaza Black Tea 400g",12
18,"Clear Men Shampoo 180ml",28,"Biscuits (Mixed)",12
18,"Clear Men Shampoo 180ml",29,"Chanachur 200g",12
11,"Horlicks 500g",17,"Sunsilk Shampoo 180ml",12
19,"Bashundhara Tissue",35,"T-shirt (Men)",12
7,"Deshi Egg (12 pcs)",23,"Onion 1kg",12
35,"T-shirt (Men)",41,"Earphones",12
9,"Bru Coffee 200g",28,"Biscuits (Mixed)",12
5,"ACI Pure Salt 1kg",18,"Clear Men Shampoo 180ml",12
9,"Bru Coffee 200g",33,"Sprite 1L",12
18,"Clear Men Shampoo 180ml",30,"Peanut 500g",12
2,"Nazirshail Rice 5kg",36,"T-shirt (Women)",12
15,"Lifebuoy Soap 100g",23,"Onion 1kg",12
14,"Wheel Washing Powder 1kg",28,"Biscuits (Mixed)",12
1,"Miniket Rice 5kg",30,"Peanut 500g",12
26,"Lentil (Dal) 1kg",41,"Earphones",12
15,"Lifebuoy Soap 100g",38,"Wallet (Men)",12
24,"Potato 1kg",26,"Lentil (Dal) 1kg",12
33,"Sprite 1L",35,"T-shirt (Men)",12
7,"Deshi Egg (12 pcs)",14,"Wheel Washing Powder 1kg",12
20,"Banglalink Internet Pack",35,"T-shirt (Men)",12
9,"Bru Coffee 200g",39,"Ladies Bag",12
15,"Lifebuoy Soap 100g",40,"Power Bank 10000mAh",12
23,"Onion 1kg",28,"Biscuits (Mixed)",12
2,"Nazirshail Rice 5kg",22,"GP Internet Pack",12
23,"Onion 1kg",38,"Wallet (Men)",12
11,"Horlicks 500g",37,"Cap",12
1,"Miniket Rice 5kg",24,"Potato 1kg",12
10,"Taaza Black Tea 400g",18,"Clear Men Shampoo 180ml",12
24,"Potato 1kg",40,"Power Bank 10000mAh",12
8,"Farm Fresh Milk 1L",35,"T-shirt (Men)",12
6,"Broiler Chicken (whole)",13,"Vim Dishwashing Bar",12
7,"Deshi Egg (12 pcs)",8,"Farm Fresh Milk 1L",12
32,"Pepsi 1L",38,"Wallet (Men)",12
23,"Onion 1kg",31,"Water Bottle 1L",12
34,"Shoes Polish",41,"Earphones",12
7,"Deshi Egg (12 pcs)",30,"Peanut 500g",12
34,"Shoes Polish",38,"Wallet (Men)",11
1,"Miniket Rice 5kg",15,"Lifebuoy Soap 100g",11
3,"Rupchanda Soyabean Oil 1L",12,"Oral Saline (ORS)",11
26,"Lentil (Dal) 1kg",35,"T-shirt (Men)",11
2,"Nazirshail Rice 5kg",10,"Taaza Black Tea 400g",11
2,"Nazirshail Rice 5kg",38,"Wallet (Men)",11
12,"Oral Saline (ORS)",13,"Vim Dishwashing Bar",11
13,"Vim Dishwashing Bar",41,"Earphones",11
35,"T-shirt (Men)",36,"T-shirt (Women)",11
29,"Chanachur 200g",37,"Cap",11
27,"Flour (Atta) 2kg",30,"Peanut 500g",11
16,"Lux Soap 100g",24,"Potato 1kg",11
30,"Peanut 500g",40,"Power Bank 10000mAh",11
7,"Deshi Egg (12 pcs)",37,"Cap",11
14,"Wheel Washing Powder 1kg",37,"Cap",11
14,"Wheel Washing Powder 1kg",40,"Power Bank 10000mAh",11
8,"Farm Fresh Milk 1L",10,"Taaza Black Tea 400g",11
23,"Onion 1kg",37,"Cap",11
14,"Wheel Washing Powder 1kg",31,"Water Bottle 1L",11
15,"Lifebuoy Soap 100g",16,"Lux Soap 100g",11
19,"Bashundhara Tissue",26,"Lentil (Dal) 1kg",11
10,"Taaza Black Tea 400g",32,"Pepsi 1L",11
26,"Lentil (Dal) 1kg",33,"Sprite 1L",11
3,"Rupchanda Soyabean Oil 1L",5,"ACI Pure Salt 1kg",11
15,"Lifebuoy Soap 100g",19,"Bashundhara Tissue",11
2,"Nazirshail Rice 5kg",13,"Vim Dishwashing Bar",11
21,"Robi Internet Pack",38,"Wallet (Men)",11
2,"Nazirshail Rice 5kg",15,"Lifebuoy Soap 100g",11
24,"Potato 1kg",33,"Sprite 1L",11
19,"Bashundhara Tissue",25,"Green Chili 100g",11
1,"Miniket Rice 5kg",17,"Sunsilk Shampoo 180ml",11
23,"Onion 1kg",33,"Sprite 1L",11
26,"Lentil (Dal) 1kg",29,"Chanachur 200g",11
1,"Miniket Rice 5kg",37,"Cap",11
11,"Horlicks 500g",15,"Lifebuoy Soap 100g",11
10,"Taaza Black Tea 400g",41,"Earphones",11
10,"Taaza Black Tea 400g",15,"Lifebuoy Soap 100g",11
19,"Bashundhara Tissue",32,"Pepsi 1L",11
28,"Biscuits (Mixed)",31,"Water Bottle 1L",11
20,"Banglalink Internet Pack",30,"Peanut 500g",11
4,"Fresh Sugar 1kg",15,"Lifebuoy Soap 100g",11
27,"Flour (Atta) 2kg",38,"Wallet (Men)",11
2,"Nazirshail Rice 5kg",34,"Shoes Polish",11
33,"Sprite 1L",39,"Ladies Bag",11
6,"Broiler Chicken (whole)",40,"Power Bank 10000mAh",11
15,"Lifebuoy Soap 100g",27,"Flour (Atta) 2kg",11
17,"Sunsilk Shampoo 180ml",27,"Flour (Atta) 2kg",11
24,"Potato 1kg",31,"Water Bottle 1L",11
33,"Sprite 1L",40,"Power Bank 10000mAh",11
9,"Bru Coffee 200g",25,"Green Chili 100g",11
12,"Oral Saline (ORS)",40,"Power Bank 10000mAh",11
6,"Broiler Chicken (whole)",20,"Banglalink Internet Pack",11
5,"ACI Pure Salt 1kg",24,"Potato 1kg",11
31,"Water Bottle 1L",32,"Pepsi 1L",11
9,"Bru Coffee 200g",11,"Horlicks 500g",11
21,"Robi Internet Pack",34,"Shoes Polish",11
30,"Peanut 500g",36,"T-shirt (Women)",11
4,"Fresh Sugar 1kg",10,"Taaza Black Tea 400g",11
6,"Broiler Chicken (whole)",12,"Oral Saline (ORS)",10
11,"Horlicks 500g",38,"Wallet (Men)",10
33,"Sprite 1L",34,"Shoes Polish",10
2,"Nazirshail Rice 5kg",8,"Farm Fresh Milk 1L",10
5,"ACI Pure Salt 1kg",32,"Pepsi 1L",10
6,"Broiler Chicken (whole)",31,"Water Bottle 1L",10
15,"Lifebuoy Soap 100g",31,"Water Bottle 1L",10
36,"T-shirt (Women)",40,"Power Bank 10000mAh",10
17,"Sunsilk Shampoo 180ml",21,"Robi Internet Pack",10
3,"Rupchanda Soyabean Oil 1L",4,"Fresh Sugar 1kg",10
6,"Broiler Chicken (whole)",15,"Lifebuoy Soap 100g",10
33,"Sprite 1L",38,"Wallet (Men)",10
21,"Robi Internet Pack",30,"Peanut 500g",10
9,"Bru Coffee 200g",30,"Peanut 500g",10
2,"Nazirshail Rice 5kg",29,"Chanachur 200g",10
13,"Vim Dishwashing Bar",35,"T-shirt (Men)",10
3,"Rupchanda Soyabean Oil 1L",33,"Sprite 1L",10
4,"Fresh Sugar 1kg",7,"Deshi Egg (12 pcs)",10
9,"Bru Coffee 200g",19,"Bashundhara Tissue",10
20,"Banglalink Internet Pack",26,"Lentil (Dal) 1kg",10
20,"Banglalink Internet Pack",27,"Flour (Atta) 2kg",10
22,"GP Internet Pack",41,"Earphones",10
8,"Farm Fresh Milk 1L",22,"GP Internet Pack",10
7,"Deshi Egg (12 pcs)",39,"Ladies Bag",10
9,"Bru Coffee 200g",36,"T-shirt (Women)",10
18,"Clear Men Shampoo 180ml",27,"Flour (Atta) 2kg",10
13,"Vim Dishwashing Bar",15,"Lifebuoy Soap 100g",10
27,"Flour (Atta) 2kg",34,"Shoes Polish",10
10,"Taaza Black Tea 400g",29,"Chanachur 200g",10
15,"Lifebuoy Soap 100g",28,"Biscuits (Mixed)",10
16,"Lux Soap 100g",39,"Ladies Bag",10
18,"Clear Men Shampoo 180ml",23,"Onion 1kg",10
30,"Peanut 500g",34,"Shoes Polish",10
15,"Lifebuoy Soap 100g",32,"Pepsi 1L",10
26,"Lentil (Dal) 1kg",31,"Water Bottle 1L",10
9,"Bru Coffee 200g",41,"Earphones",10
23,"Onion 1kg",26,"Lentil (Dal) 1kg",10
24,"Potato 1kg",25,"Green Chili 100g",10
3,"Rupchanda Soyabean Oil 1L",30,"Peanut 500g",10
4,"Fresh Sugar 1kg",6,"Broiler Chicken (whole)",10
5,"ACI Pure Salt 1kg",12,"Oral Saline (ORS)",10
14,"Wheel Washing Powder 1kg",15,"Lifebuoy Soap 100g",10
9,"Bru Coffee 200g",26,"Lentil (Dal) 1kg",10
1,"Miniket Rice 5kg",41,"Earphones",10
8,"Farm Fresh Milk 1L",37,"Cap",10
26,"Lentil (Dal) 1kg",30,"Peanut 500g",10
9,"Bru Coffee 200g",34,"Shoes Polish",10
9,"Bru Coffee 200g",13,"Vim Dishwashing Bar",10
23,"Onion 1kg",25,"Green Chili 100g",10
16,"Lux Soap 100g",32,"Pepsi 1L",10
3,"Rupchanda Soyabean Oil 1L",40,"Power Bank 10000mAh",10
23,"Onion 1kg",27,"Flour (Atta) 2kg",10
38,"Wallet (Men)",40,"Power Bank 10000mAh",10
13,"Vim Dishwashing Bar",14,"Wheel Washing Powder 1kg",10
7,"Deshi Egg (12 pcs)",15,"Lifebuoy Soap 100g",10
27,"Flour (Atta) 2kg",28,"Biscuits (Mixed)",10
34,"Shoes Polish",39,"Ladies Bag",10
10,"Taaza Black Tea 400g",36,"T-shirt (Women)",10
1,"Miniket Rice 5kg",33,"Sprite 1L",10
10,"Taaza Black Tea 400g",37,"Cap",10
13,"Vim Dishwashing Bar",29,"Chanachur 200g",10
8,"Farm Fresh Milk 1L",12,"Oral Saline (ORS)",10
1,"Miniket Rice 5kg",27,"Flour (Atta) 2kg",10
13,"Vim Dishwashing Bar",18,"Clear Men Shampoo 180ml",10
8,"Farm Fresh Milk 1L",34,"Shoes Polish",10
15,"Lifebuoy Soap 100g",22,"GP Internet Pack",10
32,"Pepsi 1L",33,"Sprite 1L",10
25,"Green Chili 100g",30,"Peanut 500g",10
24,"Potato 1kg",27,"Flour (Atta) 2kg",10
24,"Potato 1kg",29,"Chanachur 200g",10
5,"ACI Pure Salt 1kg",9,"Bru Coffee 200g",10
2,"Nazirshail Rice 5kg",20,"Banglalink Internet Pack",10
5,"ACI Pure Salt 1kg",30,"Peanut 500g",10
21,"Robi Internet Pack",40,"Power Bank 10000mAh",10
30,"Peanut 500g",38,"Wallet (Men)",10
21,"Robi Internet Pack",32,"Pepsi 1L",10
13,"Vim Dishwashing Bar",28,"Biscuits (Mixed)",10
12,"Oral Saline (ORS)",28,"Biscuits (Mixed)",10
34,"Shoes Polish",40,"Power Bank 10000mAh",10
24,"Potato 1kg",32,"Pepsi 1L",10
4,"Fresh Sugar 1kg",17,"Sunsilk Shampoo 180ml",10
14,"Wheel Washing Powder 1kg",16,"Lux Soap 100g",10
5,"ACI Pure Salt 1kg",31,"Water Bottle 1L",10
25,"Green Chili 100g",27,"Flour (Atta) 2kg",10
10,"Taaza Black Tea 400g",27,"Flour (Atta) 2kg",10
15,"Lifebuoy Soap 100g",24,"Potato 1kg",10
6,"Broiler Chicken (whole)",26,"Lentil (Dal) 1kg",10
36,"T-shirt (Women)",39,"Ladies Bag",10
6,"Broiler Chicken (whole)",23,"Onion 1kg",10
7,"Deshi Egg (12 pcs)",18,"Clear Men Shampoo 180ml",9
27,"Flour (Atta) 2kg",32,"Pepsi 1L",9
18,"Clear Men Shampoo 180ml",36,"T-shirt (Women)",9
6,"Broiler Chicken (whole)",9,"Bru Coffee 200g",9
5,"ACI Pure Salt 1kg",22,"GP Internet Pack",9
2,"Nazirshail Rice 5kg",30,"Peanut 500g",9
1,"Miniket Rice 5kg",11,"Horlicks 500g",9
1,"Miniket Rice 5kg",5,"ACI Pure Salt 1kg",9
25,"Green Chili 100g",31,"Water Bottle 1L",9
9,"Bru Coffee 200g",22,"GP Internet Pack",9
2,"Nazirshail Rice 5kg",18,"Clear Men Shampoo 180ml",9
6,"Broiler Chicken (whole)",11,"Horlicks 500g",9
1,"Miniket Rice 5kg",19,"Bashundhara Tissue",9
17,"Sunsilk Shampoo 180ml",41,"Earphones",9
12,"Oral Saline (ORS)",31,"Water Bottle 1L",9
19,"Bashundhara Tissue",31,"Water Bottle 1L",9
3,"Rupchanda Soyabean Oil 1L",9,"Bru Coffee 200g",9
18,"Clear Men Shampoo 180ml",21,"Robi Internet Pack",9
12,"Oral Saline (ORS)",20,"Banglalink Internet Pack",9
20,"Banglalink Internet Pack",29,"Chanachur 200g",9
17,"Sunsilk Shampoo 180ml",23,"Onion 1kg",9
6,"Broiler Chicken (whole)",21,"Robi Internet Pack",9
10,"Taaza Black Tea 400g",16,"Lux Soap 100g",9
8,"Farm Fresh Milk 1L",14,"Wheel Washing Powder 1kg",9
14,"Wheel Washing Powder 1kg",21,"Robi Internet Pack",9
1,"Miniket Rice 5kg",4,"Fresh Sugar 1kg",9
9,"Bru Coffee 200g",20,"Banglalink Internet Pack",9
13,"Vim Dishwashing Bar",32,"Pepsi 1L",9
21,"Robi Internet Pack",33,"Sprite 1L",9
29,"Chanachur 200g",33,"Sprite 1L",9
17,"Sunsilk Shampoo 180ml",30,"Peanut 500g",9
3,"Rupchanda Soyabean Oil 1L",15,"Lifebuoy Soap 100g",9
6,"Broiler Chicken (whole)",27,"Flour (Atta) 2kg",9
1,"Miniket Rice 5kg",34,"Shoes Polish",9
12,"Oral Saline (ORS)",25,"Green Chili 100g",9
26,"Lentil (Dal) 1kg",40,"Power Bank 10000mAh",9
2,"Nazirshail Rice 5kg",14,"Wheel Washing Powder 1kg",9
38,"Wallet (Men)",41,"Earphones",9
4,"Fresh Sugar 1kg",40,"Power Bank 10000mAh",9
5,"ACI Pure Salt 1kg",10,"Taaza Black Tea 400g",9
1,"Miniket Rice 5kg",12,"Oral Saline (ORS)",9
19,"Bashundhara Tissue",36,"T-shirt (Women)",9
11,"Horlicks 500g",23,"Onion 1kg",9
6,"Broiler Chicken (whole)",37,"Cap",9
28,"Biscuits (Mixed)",35,"T-shirt (Men)",9
22,"GP Internet Pack",27,"Flour (Atta) 2kg",9
2,"Nazirshail Rice 5kg",17,"Sunsilk Shampoo 180ml",9
12,"Oral Saline (ORS)",15,"Lifebuoy Soap 100g",9
23,"Onion 1kg",35,"T-shirt (Men)",9
27,"Flour (Atta) 2kg",41,"Earphones",9
25,"Green Chili 100g",33,"Sprite 1L",9
9,"Bru Coffee 200g",32,"Pepsi 1L",9
23,"Onion 1kg",36,"T-shirt (Women)",9
11,"Horlicks 500g",27,"Flour (Atta) 2kg",9
8,"Farm Fresh Milk 1L",9,"Bru Coffee 200g",9
23,"Onion 1kg",40,"Power Bank 10000mAh",9
4,"Fresh Sugar 1kg",25,"Green Chili 100g",9
7,"Deshi Egg (12 pcs)",35,"T-shirt (Men)",9
31,"Water Bottle 1L",39,"Ladies Bag",9
13,"Vim Dishwashing Bar",40,"Power Bank 10000mAh",9
11,"Horlicks 500g",35,"T-shirt (Men)",9
9,"Bru Coffee 200g",23,"Onion 1kg",9
25,"Green Chili 100g",38,"Wallet (Men)",9
14,"Wheel Washing Powder 1kg",41,"Earphones",9
7,"Deshi Egg (12 pcs)",20,"Banglalink Internet Pack",9
27,"Flour (Atta) 2kg",35,"T-shirt (Men)",9
12,"Oral Saline (ORS)",18,"Clear Men Shampoo 180ml",9
1,"Miniket Rice 5kg",6,"Broiler Chicken (whole)",9
30,"Peanut 500g",41,"Earphones",9
12,"Oral Saline (ORS)",14,"Wheel Washing Powder 1kg",9
2,"Nazirshail Rice 5kg",11,"Horlicks 500g",9
29,"Chanachur 200g",40,"Power Bank 10000mAh",9
7,"Deshi Egg (12 pcs)",33,"Sprite 1L",9
15,"Lifebuoy Soap 100g",17,"Sunsilk Shampoo 180ml",9
13,"Vim Dishwashing Bar",24,"Potato 1kg",9
28,"Biscuits (Mixed)",34,"Shoes Polish",9
4,"Fresh Sugar 1kg",35,"T-shirt (Men)",9
9,"Bru Coffee 200g",17,"Sunsilk Shampoo 180ml",9
10,"Taaza Black Tea 400g",40,"Power Bank 10000mAh",9
10,"Taaza Black Tea 400g",13,"Vim Dishwashing Bar",9
11,"Horlicks 500g",36,"T-shirt (Women)",9
24,"Potato 1kg",35,"T-shirt (Men)",9
2,"Nazirshail Rice 5kg",16,"Lux Soap 100g",9
7,"Deshi Egg (12 pcs)",29,"Chanachur 200g",9
2,"Nazirshail Rice 5kg",32,"Pepsi 1L",9
1,"Miniket Rice 5kg",36,"T-shirt (Women)",9
21,"Robi Internet Pack",36,"T-shirt (Women)",9
14,"Wheel Washing Powder 1kg",35,"T-shirt (Men)",9
7,"Deshi Egg (12 pcs)",12,"Oral Saline (ORS)",9
14,"Wheel Washing Powder 1kg",24,"Potato 1kg",9
6,"Broiler Chicken (whole)",39,"Ladies Bag",9
2,"Nazirshail Rice 5kg",24,"Potato 1kg",9
37,"Cap",40,"Power Bank 10000mAh",9
15,"Lifebuoy Soap 100g",36,"T-shirt (Women)",9
14,"Wheel Washing Powder 1kg",38,"Wallet (Men)",9
4,"Fresh Sugar 1kg",27,"Flour (Atta) 2kg",9
20,"Banglalink Internet Pack",31,"Water Bottle 1L",9
2,"Nazirshail Rice 5kg",3,"Rupchanda Soyabean Oil 1L",9
20,"Banglalink Internet Pack",39,"Ladies Bag",9
12,"Oral Saline (ORS)",34,"Shoes Polish",9
12,"Oral Saline (ORS)",22,"GP Internet Pack",9
15,"Lifebuoy Soap 100g",30,"Peanut 500g",9
8,"Farm Fresh Milk 1L",40,"Power Bank 10000mAh",9
10,"Taaza Black Tea 400g",19,"Bashundhara Tissue",9
3,"Rupchanda Soyabean Oil 1L",8,"Farm Fresh Milk 1L",9
37,"Cap",41,"Earphones",8
9,"Bru Coffee 200g",24,"Potato 1kg",8
4,"Fresh Sugar 1kg",22,"GP Internet Pack",8
12,"Oral Saline (ORS)",27,"Flour (Atta) 2kg",8
10,"Taaza Black Tea 400g",21,"Robi Internet Pack",8
26,"Lentil (Dal) 1kg",38,"Wallet (Men)",8
2,"Nazirshail Rice 5kg",9,"Bru Coffee 200g",8
32,"Pepsi 1L",39,"Ladies Bag",8
11,"Horlicks 500g",24,"Potato 1kg",8
4,"Fresh Sugar 1kg",31,"Water Bottle 1L",8
21,"Robi Internet Pack",29,"Chanachur 200g",8
29,"Chanachur 200g",41,"Earphones",8
10,"Taaza Black Tea 400g",23,"Onion 1kg",8
6,"Broiler Chicken (whole)",36,"T-shirt (Women)",8
29,"Chanachur 200g",35,"T-shirt (Men)",8
22,"GP Internet Pack",36,"T-shirt (Women)",8
27,"Flour (Atta) 2kg",31,"Water Bottle 1L",8
30,"Peanut 500g",39,"Ladies Bag",8
26,"Lentil (Dal) 1kg",39,"Ladies Bag",8
24,"Potato 1kg",41,"Earphones",8
14,"Wheel Washing Powder 1kg",22,"GP Internet Pack",8
3,"Rupchanda Soyabean Oil 1L",24,"Potato 1kg",8
30,"Peanut 500g",35,"T-shirt (Men)",8
21,"Robi Internet Pack",41,"Earphones",8
2,"Nazirshail Rice 5kg",5,"ACI Pure Salt 1kg",8
16,"Lux Soap 100g",18,"Clear Men Shampoo 180ml",8
26,"Lentil (Dal) 1kg",36,"T-shirt (Women)",8
17,"Sunsilk Shampoo 180ml",29,"Chanachur 200g",8
12,"Oral Saline (ORS)",29,"Chanachur 200g",8
15,"Lifebuoy Soap 100g",34,"Shoes Polish",8
7,"Deshi Egg (12 pcs)",41,"Earphones",8
5,"ACI Pure Salt 1kg",21,"Robi Internet Pack",8
10,"Taaza Black Tea 400g",31,"Water Bottle 1L",8
32,"Pepsi 1L",36,"T-shirt (Women)",8
3,"Rupchanda Soyabean Oil 1L",38,"Wallet (Men)",8
27,"Flour (Atta) 2kg",29,"Chanachur 200g",8
11,"Horlicks 500g",29,"Chanachur 200g",8
26,"Lentil (Dal) 1kg",28,"Biscuits (Mixed)",8
29,"Chanachur 200g",36,"T-shirt (Women)",8
14,"Wheel Washing Powder 1kg",33,"Sprite 1L",8
16,"Lux Soap 100g",35,"T-shirt (Men)",8
9,"Bru Coffee 200g",15,"Lifebuoy Soap 100g",8
8,"Farm Fresh Milk 1L",38,"Wallet (Men)",8
21,"Robi Internet Pack",26,"Lentil (Dal) 1kg",8
3,"Rupchanda Soyabean Oil 1L",6,"Broiler Chicken (whole)",8
21,"Robi Internet Pack",37,"Cap",8
4,"Fresh Sugar 1kg",36,"T-shirt (Women)",8
2,"Nazirshail Rice 5kg",27,"Flour (Atta) 2kg",8
22,"GP Internet Pack",31,"Water Bottle 1L",8
2,"Nazirshail Rice 5kg",7,"Deshi Egg (12 pcs)",8
10,"Taaza Black Tea 400g",22,"GP Internet Pack",8
10,"Taaza Black Tea 400g",39,"Ladies Bag",8
3,"Rupchanda Soyabean Oil 1L",16,"Lux Soap 100g",8
31,"Water Bottle 1L",41,"Earphones",8
12,"Oral Saline (ORS)",26,"Lentil (Dal) 1kg",8
19,"Bashundhara Tissue",33,"Sprite 1L",8
15,"Lifebuoy Soap 100g",33,"Sprite 1L",8
3,"Rupchanda Soyabean Oil 1L",37,"Cap",8
14,"Wheel Washing Powder 1kg",26,"Lentil (Dal) 1kg",8
36,"T-shirt (Women)",41,"Earphones",8
27,"Flour (Atta) 2kg",40,"Power Bank 10000mAh",8
21,"Robi Internet Pack",23,"Onion 1kg",8
13,"Vim Dishwashing Bar",39,"Ladies Bag",8
26,"Lentil (Dal) 1kg",27,"Flour (Atta) 2kg",8
34,"Shoes Polish",36,"T-shirt (Women)",8
19,"Bashundhara Tissue",41,"Earphones",8
6,"Broiler Chicken (whole)",30,"Peanut 500g",8
17,"Sunsilk Shampoo 180ml",31,"Water Bottle 1L",8
7,"Deshi Egg (12 pcs)",17,"Sunsilk Shampoo 180ml",8
4,"Fresh Sugar 1kg",30,"Peanut 500g",8
20,"Banglalink Internet Pack",41,"Earphones",8
13,"Vim Dishwashing Bar",19,"Bashundhara Tissue",8
11,"Horlicks 500g",18,"Clear Men Shampoo 180ml",8
13,"Vim Dishwashing Bar",17,"Sunsilk Shampoo 180ml",8
16,"Lux Soap 100g",34,"Shoes Polish",8
6,"Broiler Chicken (whole)",16,"Lux Soap 100g",8
5,"ACI Pure Salt 1kg",15,"Lifebuoy Soap 100g",8
4,"Fresh Sugar 1kg",16,"Lux Soap 100g",8
17,"Sunsilk Shampoo 180ml",36,"T-shirt (Women)",8
3,"Rupchanda Soyabean Oil 1L",7,"Deshi Egg (12 pcs)",8
13,"Vim Dishwashing Bar",23,"Onion 1kg",8
3,"Rupchanda Soyabean Oil 1L",41,"Earphones",8
10,"Taaza Black Tea 400g",14,"Wheel Washing Powder 1kg",8
22,"GP Internet Pack",38,"Wallet (Men)",8
6,"Broiler Chicken (whole)",19,"Bashundhara Tissue",8
2,"Nazirshail Rice 5kg",40,"Power Bank 10000mAh",8
18,"Clear Men Shampoo 180ml",35,"T-shirt (Men)",8
31,"Water Bottle 1L",38,"Wallet (Men)",8
22,"GP Internet Pack",24,"Potato 1kg",8
15,"Lifebuoy Soap 100g",35,"T-shirt (Men)",8
14,"Wheel Washing Powder 1kg",29,"Chanachur 200g",8
11,"Horlicks 500g",25,"Green Chili 100g",8
15,"Lifebuoy Soap 100g",26,"Lentil (Dal) 1kg",8
24,"Potato 1kg",38,"Wallet (Men)",8
3,"Rupchanda Soyabean Oil 1L",29,"Chanachur 200g",8
2,"Nazirshail Rice 5kg",39,"Ladies Bag",8
7,"Deshi Egg (12 pcs)",24,"Potato 1kg",8
4,"Fresh Sugar 1kg",21,"Robi Internet Pack",8
4,"Fresh Sugar 1kg",18,"Clear Men Shampoo 180ml",8
12,"Oral Saline (ORS)",37,"Cap",8
17,"Sunsilk Shampoo 180ml",18,"Clear Men Shampoo 180ml",8
16,"Lux Soap 100g",33,"Sprite 1L",8
8,"Farm Fresh Milk 1L",39,"Ladies Bag",8
18,"Clear Men Shampoo 180ml",25,"Green Chili 100g",8
11,"Horlicks 500g",14,"Wheel Washing Powder 1kg",8
32,"Pepsi 1L",37,"Cap",8
18,"Clear Men Shampoo 180ml",19,"Bashundhara Tissue",8
19,"Bashundhara Tissue",20,"Banglalink Internet Pack",8
13,"Vim Dishwashing Bar",31,"Water Bottle 1L",8
