"product_id_1","product_1","product_id_2","product_2","times_ordered_together","total_revenue"
11,"Horlicks 500g",39,"Ladies Bag",4,11640
9,"Bru Coffee 200g",39,"Ladies Bag",6,11610
11,"Horlicks 500g",17,"Sunsilk Shampoo 180ml",6,11520
11,"Horlicks 500g",40,"Power Bank 10000mAh",4,11450
2,"Nazirshail Rice 5kg",20,"Banglalink Internet Pack",7,11340
9,"Bru Coffee 200g",36,"T-shirt (Women)",6,11210
11,"Horlicks 500g",15,"Lifebuoy Soap 100g",10,11068
30,"Peanut 500g",40,"Power Bank 10000mAh",5,11060
9,"Bru Coffee 200g",38,"Wallet (Men)",5,11010
34,"Shoes Polish",40,"Power Bank 10000mAh",5,10930
4,"Fresh Sugar 1kg",40,"Power Bank 10000mAh",6,10830
18,"Clear Men Shampoo 180ml",38,"Wallet (Men)",6,10810
2,"Nazirshail Rice 5kg",33,"Sprite 1L",7,10760
16,"Lux Soap 100g",40,"Power Bank 10000mAh",3,10730
18,"Clear Men Shampoo 180ml",39,"Ladies Bag",5,10650
36,"T-shirt (Women)",38,"Wallet (Men)",5,10480
34,"Shoes Polish",36,"T-shirt (Women)",7,10440
33,"Sprite 1L",35,"T-shirt (Men)",8,10430
34,"Shoes Polish",39,"Ladies Bag",6,10350
22,"GP Internet Pack",38,"Wallet (Men)",6,10335
11,"Horlicks 500g",37,"Cap",6,10320
11,"Horlicks 500g",21,"Robi Internet Pack",7,10260
2,"Nazirshail Rice 5kg",17,"Sunsilk Shampoo 180ml",5,10200
9,"Bru Coffee 200g",26,"Lentil (Dal) 1kg",8,10140
2,"Nazirshail Rice 5kg",24,"Potato 1kg",5,9920
18,"Clear Men Shampoo 180ml",36,"T-shirt (Women)",8,9880
21,"Robi Internet Pack",36,"T-shirt (Women)",7,9807
11,"Horlicks 500g",32,"Pepsi 1L",5,9795
1,"Miniket Rice 5kg",15,"Lifebuoy Soap 100g",9,9760
1,"Miniket Rice 5kg",41,"Earphones",6,9750
2,"Nazirshail Rice 5kg",8,"Farm Fresh Milk 1L",6,9740
31,"Water Bottle 1L",40,"Power Bank 10000mAh",4,9680
13,"Vim Dishwashing Bar",35,"T-shirt (Men)",7,9590
8,"Farm Fresh Milk 1L",38,"Wallet (Men)",7,9540
30,"Peanut 500g",36,"T-shirt (Women)",8,9500
3,"Rupchanda Soyabean Oil 1L",38,"Wallet (Men)",6,9475
11,"Horlicks 500g",22,"GP Internet Pack",5,9402
11,"Horlicks 500g",14,"Wheel Washing Powder 1kg",7,9390
9,"Bru Coffee 200g",41,"Earphones",7,9360
1,"Miniket Rice 5kg",5,"ACI Pure Salt 1kg",8,9348
10,"Taaza Black Tea 400g",35,"T-shirt (Men)",7,9340
9,"Bru Coffee 200g",12,"Oral Saline (ORS)",10,9150
11,"Horlicks 500g",20,"Banglalink Internet Pack",6,8967
27,"Flour (Atta) 2kg",38,"Wallet (Men)",6,8960
2,"Nazirshail Rice 5kg",12,"Oral Saline (ORS)",6,8936
32,"Pepsi 1L",40,"Power Bank 10000mAh",3,8925
2,"Nazirshail Rice 5kg",36,"T-shirt (Women)",5,8900
34,"Shoes Polish",38,"Wallet (Men)",6,8900
8,"Farm Fresh Milk 1L",9,"Bru Coffee 200g",8,8820
23,"Onion 1kg",36,"T-shirt (Women)",6,8800
20,"Banglalink Internet Pack",35,"T-shirt (Men)",9,8782
1,"Miniket Rice 5kg",10,"Taaza Black Tea 400g",7,8770
9,"Bru Coffee 200g",30,"Peanut 500g",7,8730
25,"Green Chili 100g",40,"Power Bank 10000mAh",3,8690
1,"Miniket Rice 5kg",6,"Broiler Chicken (whole)",5,8620
3,"Rupchanda Soyabean Oil 1L",11,"Horlicks 500g",6,8560
19,"Bashundhara Tissue",35,"T-shirt (Men)",10,8505
9,"Bru Coffee 200g",17,"Sunsilk Shampoo 180ml",6,8490
7,"Deshi Egg (12 pcs)",11,"Horlicks 500g",6,8480
2,"Nazirshail Rice 5kg",5,"ACI Pure Salt 1kg",6,8370
30,"Peanut 500g",39,"Ladies Bag",4,8280
6,"Broiler Chicken (whole)",14,"Wheel Washing Powder 1kg",10,8275
2,"Nazirshail Rice 5kg",13,"Vim Dishwashing Bar",5,8255
3,"Rupchanda Soyabean Oil 1L",9,"Bru Coffee 200g",6,8195
10,"Taaza Black Tea 400g",36,"T-shirt (Women)",6,8170
35,"T-shirt (Men)",39,"Ladies Bag",3,8050
25,"Green Chili 100g",39,"Ladies Bag",4,8040
5,"ACI Pure Salt 1kg",11,"Horlicks 500g",5,7922
11,"Horlicks 500g",35,"T-shirt (Men)",4,7910
14,"Wheel Washing Powder 1kg",38,"Wallet (Men)",6,7890
36,"T-shirt (Women)",41,"Earphones",4,7820
10,"Taaza Black Tea 400g",38,"Wallet (Men)",5,7750
12,"Oral Saline (ORS)",36,"T-shirt (Women)",6,7720
9,"Bru Coffee 200g",28,"Biscuits (Mixed)",9,7700
1,"Miniket Rice 5kg",18,"Clear Men Shampoo 180ml",5,7680
2,"Nazirshail Rice 5kg",34,"Shoes Polish",6,7670
4,"Fresh Sugar 1kg",35,"T-shirt (Men)",8,7660
17,"Sunsilk Shampoo 180ml",39,"Ladies Bag",3,7600
27,"Flour (Atta) 2kg",40,"Power Bank 10000mAh",3,7530
1,"Miniket Rice 5kg",33,"Sprite 1L",6,7520
1,"Miniket Rice 5kg",7,"Deshi Egg (12 pcs)",5,7510
34,"Shoes Polish",41,"Earphones",8,7490
33,"Sprite 1L",40,"Power Bank 10000mAh",4,7490
1,"Miniket Rice 5kg",24,"Potato 1kg",7,7485
28,"Biscuits (Mixed)",35,"T-shirt (Men)",7,7440
1,"Miniket Rice 5kg",12,"Oral Saline (ORS)",6,7416
33,"Sprite 1L",38,"Wallet (Men)",5,7350
38,"Wallet (Men)",41,"Earphones",5,7350
11,"Horlicks 500g",33,"Sprite 1L",5,7290
11,"Horlicks 500g",13,"Vim Dishwashing Bar",5,7280
11,"Horlicks 500g",18,"Clear Men Shampoo 180ml",5,7270
6,"Broiler Chicken (whole)",36,"T-shirt (Women)",4,7240
10,"Taaza Black Tea 400g",18,"Clear Men Shampoo 180ml",8,7220
9,"Bru Coffee 200g",23,"Onion 1kg",6,7220
6,"Broiler Chicken (whole)",35,"T-shirt (Men)",6,7200
26,"Lentil (Dal) 1kg",38,"Wallet (Men)",4,7170
9,"Bru Coffee 200g",27,"Flour (Atta) 2kg",6,7150
13,"Vim Dishwashing Bar",39,"Ladies Bag",5,7125
18,"Clear Men Shampoo 180ml",21,"Robi Internet Pack",7,7086
16,"Lux Soap 100g",39,"Ladies Bag",5,7080
6,"Broiler Chicken (whole)",24,"Potato 1kg",10,7050
1,"Miniket Rice 5kg",22,"GP Internet Pack",5,7039
2,"Nazirshail Rice 5kg",15,"Lifebuoy Soap 100g",7,7038
7,"Deshi Egg (12 pcs)",41,"Earphones",6,7020
2,"Nazirshail Rice 5kg",31,"Water Bottle 1L",5,7020
1,"Miniket Rice 5kg",14,"Wheel Washing Powder 1kg",4,6990
33,"Sprite 1L",36,"T-shirt (Women)",6,6990
2,"Nazirshail Rice 5kg",26,"Lentil (Dal) 1kg",4,6960
18,"Clear Men Shampoo 180ml",26,"Lentil (Dal) 1kg",10,6850
2,"Nazirshail Rice 5kg",32,"Pepsi 1L",5,6840
11,"Horlicks 500g",12,"Oral Saline (ORS)",5,6840
9,"Bru Coffee 200g",24,"Potato 1kg",6,6830
31,"Water Bottle 1L",38,"Wallet (Men)",8,6820
5,"ACI Pure Salt 1kg",40,"Power Bank 10000mAh",3,6802
23,"Onion 1kg",38,"Wallet (Men)",6,6760
32,"Pepsi 1L",41,"Earphones",9,6750
7,"Deshi Egg (12 pcs)",38,"Wallet (Men)",4,6740
1,"Miniket Rice 5kg",4,"Fresh Sugar 1kg",5,6730
7,"Deshi Egg (12 pcs)",39,"Ladies Bag",5,6720
15,"Lifebuoy Soap 100g",35,"T-shirt (Men)",6,6710
26,"Lentil (Dal) 1kg",35,"T-shirt (Men)",5,6690
35,"T-shirt (Men)",41,"Earphones",4,6600
22,"GP Internet Pack",40,"Power Bank 10000mAh",4,6594
9,"Bru Coffee 200g",34,"Shoes Polish",6,6580
2,"Nazirshail Rice 5kg",14,"Wheel Washing Powder 1kg",5,6530
7,"Deshi Egg (12 pcs)",22,"GP Internet Pack",9,6522
27,"Flour (Atta) 2kg",39,"Ladies Bag",4,6500
11,"Horlicks 500g",25,"Green Chili 100g",5,6500
7,"Deshi Egg (12 pcs)",30,"Peanut 500g",7,6480
8,"Farm Fresh Milk 1L",39,"Ladies Bag",5,6420
1,"Miniket Rice 5kg",8,"Farm Fresh Milk 1L",4,6390
4,"Fresh Sugar 1kg",6,"Broiler Chicken (whole)",9,6380
26,"Lentil (Dal) 1kg",36,"T-shirt (Women)",5,6380
7,"Deshi Egg (12 pcs)",18,"Clear Men Shampoo 180ml",7,6370
18,"Clear Men Shampoo 180ml",31,"Water Bottle 1L",12,6340
8,"Farm Fresh Milk 1L",35,"T-shirt (Men)",6,6330
11,"Horlicks 500g",24,"Potato 1kg",5,6320
29,"Chanachur 200g",36,"T-shirt (Women)",6,6260
39,"Ladies Bag",41,"Earphones",4,6200
6,"Broiler Chicken (whole)",9,"Bru Coffee 200g",5,6130
2,"Nazirshail Rice 5kg",6,"Broiler Chicken (whole)",3,6120
1,"Miniket Rice 5kg",30,"Peanut 500g",6,6060
10,"Taaza Black Tea 400g",12,"Oral Saline (ORS)",10,6000
19,"Bashundhara Tissue",40,"Power Bank 10000mAh",3,5980
10,"Taaza Black Tea 400g",22,"GP Internet Pack",6,5979
17,"Sunsilk Shampoo 180ml",38,"Wallet (Men)",4,5970
21,"Robi Internet Pack",35,"T-shirt (Men)",5,5969
20,"Banglalink Internet Pack",38,"Wallet (Men)",4,5940
9,"Bru Coffee 200g",14,"Wheel Washing Powder 1kg",6,5905
4,"Fresh Sugar 1kg",36,"T-shirt (Women)",7,5890
1,"Miniket Rice 5kg",36,"T-shirt (Women)",2,5880
20,"Banglalink Internet Pack",36,"T-shirt (Women)",6,5863
4,"Fresh Sugar 1kg",11,"Horlicks 500g",4,5850
23,"Onion 1kg",34,"Shoes Polish",9,5850
26,"Lentil (Dal) 1kg",41,"Earphones",6,5800
14,"Wheel Washing Powder 1kg",35,"T-shirt (Men)",4,5755
22,"GP Internet Pack",36,"T-shirt (Women)",5,5737
13,"Vim Dishwashing Bar",38,"Wallet (Men)",4,5715
7,"Deshi Egg (12 pcs)",9,"Bru Coffee 200g",4,5710
7,"Deshi Egg (12 pcs)",40,"Power Bank 10000mAh",2,5710
23,"Onion 1kg",35,"T-shirt (Men)",5,5700
18,"Clear Men Shampoo 180ml",29,"Chanachur 200g",10,5680
6,"Broiler Chicken (whole)",38,"Wallet (Men)",3,5660
3,"Rupchanda Soyabean Oil 1L",32,"Pepsi 1L",10,5650
1,"Miniket Rice 5kg",13,"Vim Dishwashing Bar",7,5615
3,"Rupchanda Soyabean Oil 1L",6,"Broiler Chicken (whole)",6,5615
23,"Onion 1kg",39,"Ladies Bag",4,5600
37,"Cap",38,"Wallet (Men)",4,5580
29,"Chanachur 200g",39,"Ladies Bag",3,5520
1,"Miniket Rice 5kg",29,"Chanachur 200g",5,5510
1,"Miniket Rice 5kg",17,"Sunsilk Shampoo 180ml",4,5490
2,"Nazirshail Rice 5kg",25,"Green Chili 100g",5,5480
3,"Rupchanda Soyabean Oil 1L",10,"Taaza Black Tea 400g",5,5460
2,"Nazirshail Rice 5kg",7,"Deshi Egg (12 pcs)",4,5440
2,"Nazirshail Rice 5kg",41,"Earphones",3,5370
24,"Potato 1kg",38,"Wallet (Men)",4,5370
5,"ACI Pure Salt 1kg",9,"Bru Coffee 200g",5,5368
6,"Broiler Chicken (whole)",20,"Banglalink Internet Pack",7,5363
17,"Sunsilk Shampoo 180ml",36,"T-shirt (Women)",4,5340
22,"GP Internet Pack",27,"Flour (Atta) 2kg",7,5329
2,"Nazirshail Rice 5kg",21,"Robi Internet Pack",3,5325
35,"T-shirt (Men)",37,"Cap",3,5280
11,"Horlicks 500g",23,"Onion 1kg",5,5280
1,"Miniket Rice 5kg",27,"Flour (Atta) 2kg",4,5270
17,"Sunsilk Shampoo 180ml",18,"Clear Men Shampoo 180ml",5,5250
25,"Green Chili 100g",38,"Wallet (Men)",6,5250
7,"Deshi Egg (12 pcs)",37,"Cap",6,5240
1,"Miniket Rice 5kg",28,"Biscuits (Mixed)",4,5210
15,"Lifebuoy Soap 100g",41,"Earphones",8,5184
35,"T-shirt (Men)",38,"Wallet (Men)",2,5150
3,"Rupchanda Soyabean Oil 1L",30,"Peanut 500g",8,5125
10,"Taaza Black Tea 400g",39,"Ladies Bag",3,5120
2,"Nazirshail Rice 5kg",37,"Cap",3,5120
18,"Clear Men Shampoo 180ml",20,"Banglalink Internet Pack",8,5103
24,"Potato 1kg",39,"Ladies Bag",2,5080
21,"Robi Internet Pack",41,"Earphones",5,5056
5,"ACI Pure Salt 1kg",36,"T-shirt (Women)",5,5054
3,"Rupchanda Soyabean Oil 1L",41,"Earphones",5,5050
9,"Bru Coffee 200g",15,"Lifebuoy Soap 100g",5,5038
15,"Lifebuoy Soap 100g",18,"Clear Men Shampoo 180ml",9,5016
11,"Horlicks 500g",19,"Bashundhara Tissue",3,5010
9,"Bru Coffee 200g",10,"Taaza Black Tea 400g",3,5010
6,"Broiler Chicken (whole)",15,"Lifebuoy Soap 100g",8,4976
7,"Deshi Egg (12 pcs)",17,"Sunsilk Shampoo 180ml",6,4960
1,"Miniket Rice 5kg",38,"Wallet (Men)",3,4950
9,"Bru Coffee 200g",32,"Pepsi 1L",7,4935
15,"Lifebuoy Soap 100g",38,"Wallet (Men)",4,4918
4,"Fresh Sugar 1kg",38,"Wallet (Men)",3,4905
25,"Green Chili 100g",35,"T-shirt (Men)",6,4890
11,"Horlicks 500g",29,"Chanachur 200g",4,4840
1,"Miniket Rice 5kg",39,"Ladies Bag",2,4800
9,"Bru Coffee 200g",22,"GP Internet Pack",3,4790
22,"GP Internet Pack",41,"Earphones",5,4735
17,"Sunsilk Shampoo 180ml",25,"Green Chili 100g",11,4720
1,"Miniket Rice 5kg",34,"Shoes Polish",5,4710
7,"Deshi Egg (12 pcs)",35,"T-shirt (Men)",4,4690
6,"Broiler Chicken (whole)",10,"Taaza Black Tea 400g",4,4660
29,"Chanachur 200g",35,"T-shirt (Men)",4,4640
4,"Fresh Sugar 1kg",7,"Deshi Egg (12 pcs)",7,4625
7,"Deshi Egg (12 pcs)",33,"Sprite 1L",7,4620
10,"Taaza Black Tea 400g",13,"Vim Dishwashing Bar",7,4620
10,"Taaza Black Tea 400g",27,"Flour (Atta) 2kg",6,4610
2,"Nazirshail Rice 5kg",30,"Peanut 500g",3,4600
27,"Flour (Atta) 2kg",36,"T-shirt (Women)",3,4570
15,"Lifebuoy Soap 100g",36,"T-shirt (Women)",4,4560
9,"Bru Coffee 200g",33,"Sprite 1L",4,4540
7,"Deshi Egg (12 pcs)",14,"Wheel Washing Powder 1kg",7,4525
9,"Bru Coffee 200g",21,"Robi Internet Pack",4,4518
1,"Miniket Rice 5kg",32,"Pepsi 1L",4,4500
4,"Fresh Sugar 1kg",9,"Bru Coffee 200g",4,4485
5,"ACI Pure Salt 1kg",39,"Ladies Bag",2,4466
37,"Cap",39,"Ladies Bag",2,4440
18,"Clear Men Shampoo 180ml",34,"Shoes Polish",5,4420
37,"Cap",40,"Power Bank 10000mAh",2,4400
8,"Farm Fresh Milk 1L",10,"Taaza Black Tea 400g",7,4380
27,"Flour (Atta) 2kg",37,"Cap",7,4370
18,"Clear Men Shampoo 180ml",27,"Flour (Atta) 2kg",7,4340
25,"Green Chili 100g",36,"T-shirt (Women)",6,4340
9,"Bru Coffee 200g",20,"Banglalink Internet Pack",3,4323
7,"Deshi Egg (12 pcs)",23,"Onion 1kg",7,4320
6,"Broiler Chicken (whole)",27,"Flour (Atta) 2kg",6,4310
19,"Bashundhara Tissue",39,"Ladies Bag",3,4305
3,"Rupchanda Soyabean Oil 1L",4,"Fresh Sugar 1kg",6,4305
3,"Rupchanda Soyabean Oil 1L",12,"Oral Saline (ORS)",9,4289
21,"Robi Internet Pack",33,"Sprite 1L",9,4271
16,"Lux Soap 100g",38,"Wallet (Men)",3,4250
3,"Rupchanda Soyabean Oil 1L",21,"Robi Internet Pack",5,4164
18,"Clear Men Shampoo 180ml",35,"T-shirt (Men)",4,4160
6,"Broiler Chicken (whole)",39,"Ladies Bag",3,4150
6,"Broiler Chicken (whole)",7,"Deshi Egg (12 pcs)",5,4130
6,"Broiler Chicken (whole)",19,"Bashundhara Tissue",7,4115
15,"Lifebuoy Soap 100g",37,"Cap",9,4108
17,"Sunsilk Shampoo 180ml",27,"Flour (Atta) 2kg",6,4100
6,"Broiler Chicken (whole)",37,"Cap",4,4090
22,"GP Internet Pack",39,"Ladies Bag",4,4039
32,"Pepsi 1L",36,"T-shirt (Women)",5,4015
3,"Rupchanda Soyabean Oil 1L",18,"Clear Men Shampoo 180ml",4,4015
14,"Wheel Washing Powder 1kg",36,"T-shirt (Women)",4,3990
34,"Shoes Polish",35,"T-shirt (Men)",3,3930
4,"Fresh Sugar 1kg",41,"Earphones",4,3925
8,"Farm Fresh Milk 1L",24,"Potato 1kg",14,3905
20,"Banglalink Internet Pack",39,"Ladies Bag",3,3897
6,"Broiler Chicken (whole)",28,"Biscuits (Mixed)",7,3870
14,"Wheel Washing Powder 1kg",39,"Ladies Bag",4,3855
17,"Sunsilk Shampoo 180ml",31,"Water Bottle 1L",8,3840
10,"Taaza Black Tea 400g",41,"Earphones",5,3840
12,"Oral Saline (ORS)",18,"Clear Men Shampoo 180ml",7,3802
7,"Deshi Egg (12 pcs)",26,"Lentil (Dal) 1kg",5,3800
29,"Chanachur 200g",38,"Wallet (Men)",4,3800
4,"Fresh Sugar 1kg",17,"Sunsilk Shampoo 180ml",5,3790
31,"Water Bottle 1L",35,"T-shirt (Men)",4,3780
33,"Sprite 1L",41,"Earphones",4,3770
21,"Robi Internet Pack",30,"Peanut 500g",6,3762
24,"Potato 1kg",35,"T-shirt (Men)",5,3745
4,"Fresh Sugar 1kg",33,"Sprite 1L",9,3745
21,"Robi Internet Pack",26,"Lentil (Dal) 1kg",6,3744
3,"Rupchanda Soyabean Oil 1L",22,"GP Internet Pack",4,3739
10,"Taaza Black Tea 400g",11,"Horlicks 500g",3,3730
9,"Bru Coffee 200g",25,"Green Chili 100g",3,3730
12,"Oral Saline (ORS)",39,"Ladies Bag",3,3720
14,"Wheel Washing Powder 1kg",22,"GP Internet Pack",6,3714
3,"Rupchanda Soyabean Oil 1L",24,"Potato 1kg",7,3710
7,"Deshi Egg (12 pcs)",8,"Farm Fresh Milk 1L",6,3710
10,"Taaza Black Tea 400g",26,"Lentil (Dal) 1kg",4,3700
18,"Clear Men Shampoo 180ml",28,"Biscuits (Mixed)",9,3650
12,"Oral Saline (ORS)",38,"Wallet (Men)",2,3636
36,"T-shirt (Women)",37,"Cap",3,3620
6,"Broiler Chicken (whole)",12,"Oral Saline (ORS)",5,3618
1,"Miniket Rice 5kg",21,"Robi Internet Pack",3,3603
32,"Pepsi 1L",35,"T-shirt (Men)",3,3600
11,"Horlicks 500g",30,"Peanut 500g",3,3600
11,"Horlicks 500g",16,"Lux Soap 100g",2,3600
27,"Flour (Atta) 2kg",35,"T-shirt (Men)",4,3570
17,"Sunsilk Shampoo 180ml",34,"Shoes Polish",4,3540
3,"Rupchanda Soyabean Oil 1L",8,"Farm Fresh Milk 1L",5,3535
3,"Rupchanda Soyabean Oil 1L",34,"Shoes Polish",6,3535
17,"Sunsilk Shampoo 180ml",23,"Onion 1kg",6,3520
30,"Peanut 500g",35,"T-shirt (Men)",3,3520
4,"Fresh Sugar 1kg",27,"Flour (Atta) 2kg",6,3515
9,"Bru Coffee 200g",18,"Clear Men Shampoo 180ml",3,3500
18,"Clear Men Shampoo 180ml",23,"Onion 1kg",6,3500
14,"Wheel Washing Powder 1kg",27,"Flour (Atta) 2kg",7,3500
31,"Water Bottle 1L",41,"Earphones",6,3490
5,"ACI Pure Salt 1kg",21,"Robi Internet Pack",7,3484
16,"Lux Soap 100g",41,"Earphones",4,3480
19,"Bashundhara Tissue",36,"T-shirt (Women)",4,3460
7,"Deshi Egg (12 pcs)",27,"Flour (Atta) 2kg",4,3460
30,"Peanut 500g",41,"Earphones",5,3440
21,"Robi Internet Pack",39,"Ladies Bag",2,3432
10,"Taaza Black Tea 400g",31,"Water Bottle 1L",7,3420
20,"Banglalink Internet Pack",27,"Flour (Atta) 2kg",7,3410
6,"Broiler Chicken (whole)",16,"Lux Soap 100g",6,3390
6,"Broiler Chicken (whole)",21,"Robi Internet Pack",4,3388
6,"Broiler Chicken (whole)",33,"Sprite 1L",7,3370
23,"Onion 1kg",37,"Cap",6,3360
13,"Vim Dishwashing Bar",18,"Clear Men Shampoo 180ml",6,3340
5,"ACI Pure Salt 1kg",38,"Wallet (Men)",2,3340
4,"Fresh Sugar 1kg",21,"Robi Internet Pack",6,3333
18,"Clear Men Shampoo 180ml",41,"Earphones",4,3330
3,"Rupchanda Soyabean Oil 1L",7,"Deshi Egg (12 pcs)",4,3320
8,"Farm Fresh Milk 1L",17,"Sunsilk Shampoo 180ml",5,3320
6,"Broiler Chicken (whole)",13,"Vim Dishwashing Bar",5,3320
22,"GP Internet Pack",24,"Potato 1kg",7,3312
17,"Sunsilk Shampoo 180ml",21,"Robi Internet Pack",4,3308
10,"Taaza Black Tea 400g",32,"Pepsi 1L",6,3295
24,"Potato 1kg",30,"Peanut 500g",9,3290
22,"GP Internet Pack",37,"Cap",4,3286
7,"Deshi Egg (12 pcs)",21,"Robi Internet Pack",4,3277
3,"Rupchanda Soyabean Oil 1L",29,"Chanachur 200g",6,3265
2,"Nazirshail Rice 5kg",19,"Bashundhara Tissue",2,3260
3,"Rupchanda Soyabean Oil 1L",15,"Lifebuoy Soap 100g",7,3248
2,"Nazirshail Rice 5kg",16,"Lux Soap 100g",2,3240
14,"Wheel Washing Powder 1kg",37,"Cap",5,3225
25,"Green Chili 100g",41,"Earphones",4,3220
1,"Miniket Rice 5kg",37,"Cap",3,3210
21,"Robi Internet Pack",22,"GP Internet Pack",4,3207
4,"Fresh Sugar 1kg",26,"Lentil (Dal) 1kg",5,3200
10,"Taaza Black Tea 400g",28,"Biscuits (Mixed)",9,3180
32,"Pepsi 1L",33,"Sprite 1L",8,3180
31,"Water Bottle 1L",39,"Ladies Bag",3,3180
3,"Rupchanda Soyabean Oil 1L",37,"Cap",5,3180
6,"Broiler Chicken (whole)",26,"Lentil (Dal) 1kg",5,3170
15,"Lifebuoy Soap 100g",17,"Sunsilk Shampoo 180ml",6,3168
26,"Lentil (Dal) 1kg",32,"Pepsi 1L",7,3165
8,"Farm Fresh Milk 1L",11,"Horlicks 500g",2,3150
21,"Robi Internet Pack",32,"Pepsi 1L",7,3147
4,"Fresh Sugar 1kg",18,"Clear Men Shampoo 180ml",4,3135
23,"Onion 1kg",26,"Lentil (Dal) 1kg",6,3120
30,"Peanut 500g",34,"Shoes Polish",5,3120
5,"ACI Pure Salt 1kg",18,"Clear Men Shampoo 180ml",6,3116
21,"Robi Internet Pack",23,"Onion 1kg",5,3104
20,"Banglalink Internet Pack",34,"Shoes Polish",5,3101
19,"Bashundhara Tissue",41,"Earphones",5,3100
27,"Flour (Atta) 2kg",29,"Chanachur 200g",8,3050
7,"Deshi Egg (12 pcs)",32,"Pepsi 1L",5,3045
4,"Fresh Sugar 1kg",10,"Taaza Black Tea 400g",6,3040
11,"Horlicks 500g",28,"Biscuits (Mixed)",3,3040
17,"Sunsilk Shampoo 180ml",35,"T-shirt (Men)",3,3030
7,"Deshi Egg (12 pcs)",10,"Taaza Black Tea 400g",3,3020
